,date,taylor_pos
0,2014-07-19,82.0
1,2014-07-26,
2,2014-08-02,
3,2014-08-09,96.0
4,2014-08-16,
5,2014-08-23,
6,2014-08-30,69.0
7,2014-09-06,1.0
8,2014-09-13,3.0
9,2014-09-20,5.0
10,2014-09-27,3.0
11,2014-10-04,4.0
12,2014-10-11,3.0
13,2014-10-18,4.0
14,2014-10-25,4.0
15,2014-11-01,2.0
16,2014-11-08,1.0
17,2014-11-15,1.0
18,2014-11-22,1.0
19,2014-11-29,1.0
20,2014-12-06,1.0
21,2014-12-13,1.0
22,2014-12-20,1.0
23,2014-12-27,1.0
24,2015-01-03,1.0
25,2015-01-10,1.0
26,2015-01-17,1.0
27,2015-01-24,1.0
28,2015-01-31,2.0
29,2015-02-07,1.0
30,2015-02-14,1.0
31,2015-02-21,1.0
32,2015-02-28,2.0
33,2015-03-07,3.0
34,2015-03-14,1.0
35,2015-03-21,1.0
36,2015-03-28,1.0
37,2015-04-04,2.0
38,2015-04-11,1.0
39,2015-04-18,1.0
40,2015-04-25,1.0
41,2015-05-02,1.0
42,2015-05-09,1.0
43,2015-05-16,3.0
44,2015-05-23,2.0
45,2015-05-30,1.0
46,2015-06-06,1.0
47,2015-06-13,1.0
48,2015-06-20,1.0
49,2015-06-27,1.0
50,2015-07-04,1.0
51,2015-07-11,1.0
52,2015-07-18,2.0
53,2015-07-25,2.0
54,2015-08-01,2.0
55,2015-08-08,2.0
56,2015-08-15,2.0
57,2015-08-22,3.0
58,2015-08-29,4.0
59,2015-09-05,4.0
60,2015-09-12,3.0
61,2015-09-19,3.0
62,2015-09-26,2.0
63,2015-10-03,3.0
64,2015-10-10,4.0
65,2015-10-17,4.0
66,2015-10-24,3.0
67,2015-10-31,4.0
68,2015-11-07,4.0
69,2015-11-14,7.0
70,2015-11-21,6.0
71,2015-11-28,7.0
72,2015-12-05,6.0
73,2015-12-12,6.0
74,2015-12-19,5.0
75,2015-12-26,9.0
76,2016-01-02,8.0
77,2016-01-09,6.0
78,2016-01-16,5.0
79,2016-01-23,6.0
80,2016-01-30,8.0
81,2016-02-06,9.0
82,2016-02-13,8.0
83,2016-02-20,12.0
84,2016-02-27,10.0
85,2016-03-05,6.0
86,2016-03-12,7.0
87,2016-03-19,9.0
88,2016-03-26,12.0
89,2016-04-02,8.0
90,2016-04-09,11.0
91,2016-04-16,9.0
92,2016-04-23,11.0
93,2016-04-30,7.0
94,2016-05-07,13.0
95,2016-05-14,14.0
96,2016-05-21,16.0
97,2016-05-28,18.0
98,2016-06-04,15.0
99,2016-06-11,20.0
100,2016-06-18,22.0
101,2016-06-25,21.0
102,2016-07-02,19.0
103,2016-07-09,27.0
104,2016-07-16,25.0
105,2016-07-23,13.0
106,2016-07-30,17.0
107,2016-08-06,16.0
108,2016-08-13,19.0
109,2016-08-20,28.0
110,2016-08-27,25.0
111,2016-09-03,28.0
112,2016-09-10,26.0
113,2016-09-17,34.0
114,2016-09-24,27.0
115,2016-10-01,37.0
116,2016-10-08,41.0
117,2016-10-15,41.0
118,2016-10-22,40.0
119,2016-10-29,44.0
120,2016-11-05,41.0
121,2016-11-12,22.0
122,2016-11-19,30.0
123,2016-11-26,39.0
124,2016-12-03,51.0
125,2016-12-10,39.0
126,2016-12-17,45.0
127,2016-12-24,58.0
128,2016-12-31,8.0
129,2017-01-07,21.0
130,2017-01-14,20.0
131,2017-01-21,13.0
132,2017-01-28,12.0
133,2017-02-04,14.0
134,2017-02-11,15.0
135,2017-02-18,9.0
136,2017-02-25,14.0
137,2017-03-04,14.0
138,2017-03-11,21.0
139,2017-03-18,24.0
140,2017-03-25,19.0
141,2017-04-01,20.0
142,2017-04-08,20.0
143,2017-04-15,26.0
144,2017-04-22,34.0
145,2017-04-29,37.0
146,2017-05-06,33.0
147,2017-05-13,43.0
148,2017-05-20,48.0
149,2017-05-27,50.0
150,2017-06-03,62.0
151,2017-06-10,62.0
152,2017-06-17,55.0
153,2017-06-24,58.0
154,2017-07-01,44.0
155,2017-07-08,58.0
156,2017-07-15,55.0
157,2017-07-22,55.0
158,2017-07-29,67.0
159,2017-08-05,56.0
160,2017-08-12,59.0
161,2017-08-19,69.0
162,2017-08-26,70.0
163,2017-09-02,61.0
164,2017-09-09,22.0
165,2017-09-16,1.0
166,2017-09-23,1.0
167,2017-09-30,2.0
168,2017-10-07,2.0
169,2017-10-14,3.0
170,2017-10-21,7.0
171,2017-10-28,6.0
172,2017-11-04,6.0
173,2017-11-11,5.0
174,2017-11-18,6.0
175,2017-11-25,4.0
176,2017-12-02,1.0
177,2017-12-09,1.0
178,2017-12-16,1.0
179,2017-12-23,4.0
180,2017-12-30,2.0
181,2018-01-06,2.0
182,2018-01-13,3.0
183,2018-01-20,7.0
184,2018-01-27,8.0
185,2018-02-03,14.0
186,2018-02-10,15.0
187,2018-02-17,16.0
188,2018-02-24,20.0
189,2018-03-03,27.0
190,2018-03-10,32.0
191,2018-03-17,35.0
192,2018-03-24,25.0
193,2018-03-31,24.0
194,2018-04-07,19.0
195,2018-04-14,19.0
196,2018-04-21,23.0
197,2018-04-28,26.0
198,2018-05-05,16.0
199,2018-05-12,23.0
200,2018-05-19,20.0
201,2018-05-26,16.0
202,2018-06-02,10.0
203,2018-06-09,11.0
204,2018-06-16,14.0
205,2018-06-23,16.0
206,2018-06-30,17.0
207,2018-07-07,15.0
208,2018-07-14,11.0
209,2018-07-21,8.0
210,2018-07-28,9.0
211,2018-08-04,7.0
212,2018-08-11,9.0
213,2018-08-18,13.0
214,2018-08-25,10.0
215,2018-09-01,16.0
216,2018-09-08,16.0
217,2018-09-15,20.0
218,2018-09-22,24.0
219,2018-09-29,20.0
220,2018-10-06,23.0
221,2018-10-13,25.0
222,2018-10-20,24.0
223,2018-10-27,30.0
224,2018-11-03,38.0
225,2018-11-10,38.0
226,2018-11-17,41.0
227,2018-11-24,40.0
228,2018-12-01,44.0
229,2018-12-08,38.0
230,2018-12-15,48.0
231,2018-12-22,49.0
232,2018-12-29,48.0
233,2019-01-05,42.0
234,2019-01-12,20.0
235,2019-01-19,19.0
236,2019-01-26,27.0
237,2019-02-02,28.0
238,2019-02-09,38.0
239,2019-02-16,40.0
240,2019-02-23,41.0
241,2019-03-02,45.0
242,2019-03-09,45.0
243,2019-03-16,51.0
244,2019-03-23,49.0
245,2019-03-30,50.0
246,2019-04-06,51.0
247,2019-04-13,55.0
248,2019-04-20,62.0
249,2019-04-27,55.0
250,2019-05-04,35.0
251,2019-05-11,4.0
252,2019-05-18,15.0
253,2019-05-25,18.0
254,2019-06-01,20.0
255,2019-06-08,20.0
256,2019-06-15,23.0
257,2019-06-22,21.0
258,2019-06-29,3.0
259,2019-07-06,10.0
260,2019-07-13,14.0
261,2019-07-20,14.0
262,2019-07-27,12.0
263,2019-08-03,9.0
264,2019-08-10,11.0
265,2019-08-17,14.0
266,2019-08-24,16.0
267,2019-08-31,3.0
268,2019-09-07,1.0
269,2019-09-14,2.0
270,2019-09-21,2.0
271,2019-09-28,3.0
272,2019-10-05,5.0
273,2019-10-12,6.0
274,2019-10-19,8.0
275,2019-10-26,8.0
276,2019-11-02,6.0
277,2019-11-09,10.0
278,2019-11-16,9.0
279,2019-11-23,5.0
280,2019-11-30,4.0
281,2019-12-07,4.0
282,2019-12-14,4.0
283,2019-12-21,6.0
284,2019-12-28,6.0
285,2020-01-04,6.0
286,2020-01-11,10.0
287,2020-01-18,12.0
288,2020-01-25,21.0
289,2020-02-01,24.0
290,2020-02-08,25.0
291,2020-02-15,6.0
292,2020-02-22,9.0
293,2020-02-29,16.0
294,2020-03-07,22.0
295,2020-03-14,19.0
296,2020-03-21,27.0
297,2020-03-28,22.0
298,2020-04-04,27.0
299,2020-04-11,30.0
300,2020-04-18,30.0
301,2020-04-25,27.0
302,2020-05-02,20.0
303,2020-05-09,31.0
304,2020-05-16,35.0
305,2020-05-23,34.0
306,2020-05-30,23.0
307,2020-06-06,29.0
308,2020-06-13,37.0
309,2020-06-20,37.0
310,2020-06-27,36.0
311,2020-07-04,54.0
312,2020-07-11,45.0
313,2020-07-18,57.0
314,2020-07-25,48.0
315,2020-08-01,29.0
316,2020-08-08,1.0
317,2020-08-15,1.0
318,2020-08-22,1.0
319,2020-08-29,1.0
320,2020-09-05,2.0
321,2020-09-12,2.0
322,2020-09-19,4.0
323,2020-09-26,3.0
324,2020-10-03,2.0
325,2020-10-10,10.0
326,2020-10-17,18.0
327,2020-10-24,15.0
328,2020-10-31,2.0
329,2020-11-07,22.0
330,2020-11-14,31.0
331,2020-11-21,11.0
332,2020-11-28,46.0
333,2020-12-05,10.0
334,2020-12-12,14.0
335,2020-12-19,19.0
336,2020-12-26,1.0
337,2021-01-02,1.0
338,2021-01-09,1.0
339,2021-01-16,1.0
340,2021-01-23,2.0
341,2021-01-30,6.0
342,2021-02-06,3.0
343,2021-02-13,8.0
344,2021-02-20,5.0
345,2021-02-27,1.0
346,2021-03-06,5.0
347,2021-03-13,8.0
348,2021-03-20,12.0
349,2021-03-27,5.0
350,2021-04-03,12.0
351,2021-04-10,8.0
352,2021-04-17,12.0
353,2021-04-24,1.0
354,2021-05-01,2.0
355,2021-05-08,11.0
356,2021-05-15,15.0
357,2021-05-22,17.0
358,2021-05-29,17.0
359,2021-06-05,17.0
360,2021-06-12,1.0
361,2021-06-19,5.0
362,2021-06-26,14.0
363,2021-07-03,5.0
364,2021-07-10,14.0
365,2021-07-17,7.0
366,2021-07-24,11.0
367,2021-07-31,17.0
368,2021-08-07,5.0
369,2021-08-14,16.0
370,2021-08-21,12.0
371,2021-08-28,12.0
372,2021-09-04,22.0
373,2021-09-11,12.0
374,2021-09-18,16.0
375,2021-09-25,19.0
376,2021-10-02,10.0
377,2021-10-09,16.0
378,2021-10-16,1.0
379,2021-10-23,9.0
380,2021-10-30,16.0
381,2021-11-06,13.0
382,2021-11-13,12.0
383,2021-11-20,11.0
384,2021-11-27,1.0
385,2021-12-04,2.0
386,2021-12-11,2.0
387,2021-12-18,2.0
388,2021-12-25,3.0
389,2022-01-01,2.0
390,2022-01-08,2.0
391,2022-01-15,2.0
392,2022-01-22,5.0
393,2022-01-29,6.0
394,2022-02-05,6.0
395,2022-02-12,5.0
396,2022-02-19,7.0
397,2022-02-26,8.0
398,2022-03-05,11.0
399,2022-03-12,14.0
400,2022-03-19,14.0
401,2022-03-26,19.0
402,2022-04-02,20.0
403,2022-04-09,29.0
404,2022-04-16,25.0
405,2022-04-23,22.0
406,2022-04-30,12.0
407,2022-05-07,24.0
408,2022-05-14,16.0
409,2022-05-21,5.0
410,2022-05-28,19.0
411,2022-06-04,25.0
412,2022-06-11,23.0
413,2022-06-18,23.0
414,2022-06-25,21.0
415,2022-07-02,17.0
416,2022-07-09,15.0
417,2022-07-16,21.0
418,2022-07-23,13.0
419,2022-07-30,16.0
420,2022-08-06,15.0
421,2022-08-13,25.0
422,2022-08-20,16.0
423,2022-08-27,19.0
424,2022-09-03,26.0
425,2022-09-10,20.0
426,2022-09-17,12.0
427,2022-09-24,23.0
428,2022-10-01,18.0
429,2022-10-08,16.0
430,2022-10-15,15.0
431,2022-10-22,13.0
432,2022-10-29,10.0
433,2022-11-05,1.0
434,2022-11-12,1.0
435,2022-11-19,1.0
436,2022-11-26,1.0
437,2022-12-03,1.0
438,2022-12-10,1.0
439,2022-12-17,1.0
440,2022-12-24,2.0
